,K,D,A,Gold,Level,Win,Time_seconds
423,4.2,1.2,11.8,11680.2,15.0,1,984
424,2.0,3.2,4.6,12375.4,15.0,0,1328
425,3.2,2.0,9.2,13800.6,15.0,1,1328
426,4.0,4.2,8.4,13232.8,15.0,0,1377
427,4.2,4.0,10.4,14475.8,15.0,1,1377
428,3.4,2.2,10.8,9472.8,14.2,1,858
429,2.2,3.4,6.6,8542.8,14.0,0,858
430,1.6,2.8,4.6,12291.4,15.0,1,1214
431,2.8,1.6,7.2,12077.6,15.0,0,1214
432,1.2,2.2,2.4,8416.0,14.2,0,919
433,2.2,1.2,4.4,10122.2,14.8,1,919
434,2.2,1.2,6.4,8869.2,14.2,1,867
435,1.2,2.2,3.4,7562.4,13.6,0,867
436,0.2,2.4,0.6,6610.4,12.4,0,820
437,2.4,0.2,6.6,9379.8,14.4,1,820
438,4.6,1.0,15.6,9497.6,14.0,1,777
439,1.0,4.6,2.4,6485.0,11.8,0,777
440,4.0,0.6,13.0,10083.6,15.0,1,1055
441,0.6,4.0,1.8,8921.6,14.8,0,1055
442,3.4,1.0,9.8,8630.0,14.0,1,795
443,1.0,3.4,2.6,6781.6,11.8,0,795
444,3.2,3.2,7.0,12086.8,15.0,1,1234
445,3.2,3.2,8.2,11496.0,15.0,0,1234
446,3.4,4.0,5.4,11216.0,15.0,1,1089
447,4.0,3.4,11.2,10589.0,15.0,0,1089
448,1.4,2.4,3.4,7990.8,14.0,0,917
449,2.4,1.4,5.2,9634.2,14.6,1,917
450,2.4,2.8,4.6,9959.6,14.6,0,1006
451,2.8,2.4,7.0,11291.0,14.6,1,1006
452,3.2,2.8,9.4,18347.4,15.0,1,1727
453,2.8,3.2,6.2,16201.2,15.0,0,1727
454,0.4,2.2,1.4,5573.6,10.8,0,714
455,2.2,0.4,6.4,8245.0,13.4,1,714
456,3.0,0.2,8.2,7747.8,12.6,1,643
457,0.2,3.0,0.8,4968.4,10.0,0,643
458,0.8,3.8,1.8,7082.6,12.6,0,851
459,3.8,0.8,9.8,9882.8,14.4,1,851
460,2.8,0.8,4.0,8410.2,13.4,1,707
461,0.8,2.8,1.0,5908.8,11.2,0,707
462,2.4,1.8,6.8,7851.4,12.4,1,752
463,1.8,2.4,3.2,7025.4,12.4,0,752
464,2.8,1.2,8.0,9624.6,14.4,1,909
465,1.2,2.8,3.4,8432.0,13.4,0,909
466,0.2,1.8,0.8,5788.0,10.8,0,700
467,1.8,0.2,5.0,7881.8,13.2,1,700
468,2.2,0.0,7.0,9871.4,12.6,1,882
469,0.0,2.2,0.0,7042.0,13.2,0,882
470,2.2,4.0,3.8,9079.4,14.0,0,985
471,4.0,2.2,7.6,11442.4,15.0,1,985
472,2.4,4.2,5.8,12919.8,15.0,0,1401
473,4.2,2.4,7.8,14441.8,15.0,1,1401
474,3.0,1.8,8.6,8343.2,13.6,1,763
475,1.8,3.0,5.2,6879.8,12.6,0,763
476,3.0,1.6,7.4,9633.4,14.8,1,866
477,1.6,3.0,3.4,7548.6,13.2,0,866
478,3.0,3.4,7.0,7857.2,13.4,0,856
479,3.4,3.0,7.8,9071.2,14.0,1,856
480,2.0,4.0,6.0,8226.6,13.4,0,880
481,4.0,2.0,11.0,8832.6,13.8,1,880
482,2.2,0.4,6.6,7287.0,12.2,1,624
483,0.4,2.2,1.4,4807.8,9.6,0,624
484,4.0,0.8,10.4,11729.8,15.0,1,1084
485,0.8,4.0,2.2,9410.2,14.6,0,1084
486,0.4,3.0,1.0,5466.2,10.4,0,651
487,3.0,0.4,6.6,7676.2,12.8,1,651
488,1.8,3.0,3.6,8368.0,13.6,0,884
489,3.0,1.8,9.8,9391.8,14.2,1,884
490,5.4,2.6,12.2,12203.6,15.0,1,1182
491,2.6,5.4,7.2,10805.2,14.6,0,1182
492,3.4,1.0,9.0,10042.0,14.6,1,794
493,1.0,3.4,2.8,6963.8,12.0,0,794
494,0.8,3.6,1.8,4909.0,9.8,0,572
495,3.6,0.8,7.2,7156.4,11.8,1,572
